Accession	Title	TFOE	Sample Type	Taxonomy	Channels	Platform	Series	Supplementary Types	Supplementary Links	SRA Accession	Contact	Release Date
GSM1427012	TFOE_8131_3574_C_3000ng	Rv3574	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1427nnn/GSM1427012/suppl		Tige Rustad	4-Jul-14
GSM1427013	TFOE_2077_3583c	Rv3583	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1427nnn/GSM1427013/suppl		Tige Rustad	4-Jul-14
GSM1427014	TFOE_3529_3583c	Rv3583	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1427nnn/GSM1427014/suppl		Tige Rustad	4-Jul-14
GSM1427015	TFOE_4577_3583c	Rv3583	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1427nnn/GSM1427015/suppl		Tige Rustad	4-Jul-14
GSM1427016	TFOE_3373_3597c	Rv3597	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1427nnn/GSM1427016/suppl		Tige Rustad	4-Jul-14
GSM1427017	TFOE_4909_3597c	Rv3597	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1427nnn/GSM1427017/suppl		Tige Rustad	4-Jul-14
GSM1427018	TFOE_5338_3597c	Rv3597	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1427nnn/GSM1427018/suppl		Tige Rustad	4-Jul-14
GSM1427019	TFOE_7750_3597c	Rv3597	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1427nnn/GSM1427019/suppl		Tige Rustad	4-Jul-14
GSM1427020	TFOE_3847_3676	Rv3676	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1427nnn/GSM1427020/suppl		Tige Rustad	4-Jul-14
GSM1427021	TFOE_4445_3676	Rv3676	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1427nnn/GSM1427021/suppl		Tige Rustad	4-Jul-14
GSM1427022	TFOE_6346_3676	Rv3676	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1427nnn/GSM1427022/suppl		Tige Rustad	4-Jul-14
GSM1427023	TFOE_2092_3681c	Rv3681	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1427nnn/GSM1427023/suppl		Tige Rustad	4-Jul-14
GSM1427024	TFOE_9192_3681c	Rv3681	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1427nnn/GSM1427024/suppl		Tige Rustad	4-Jul-14
GSM1427025	TFOE_9798_3681c	Rv3681	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1427nnn/GSM1427025/suppl		Tige Rustad	4-Jul-14
GSM1427026	TFOE_2107_3692	Rv3692	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1427nnn/GSM1427026/suppl		Tige Rustad	4-Jul-14
GSM1427027	TFOE_4182_3692	Rv3692	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1427nnn/GSM1427027/suppl		Tige Rustad	4-Jul-14
GSM1427028	TFOE_5851_3692	Rv3692	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1427nnn/GSM1427028/suppl		Tige Rustad	4-Jul-14
