metabolite,Mann-Whitney U1,Mann-Whitney U2,rho,p-value,adj p-value,tf,represented metabolites,name,compartment,formula,id,bigg_id,MetaNetX id,KEGG id,SEED id,CHEBI id,KEGG pathways,KEGG modules
h2s[c],35340.0,40756.0,0.46441337258200166,0.8576233575067218,0.9987209172869325,Rv0022c,"{'rhcys[c]', 'h2s[e]', 'gthox[c]', 'cyst__L[c]', 'cys__L[c]', 'cgly[c]', 's[c]', 'metsox_S__L[c]', 'hcys__L[c]', 'fdxox[c]', 'fdxrd[c]', 'met__L[c]', 'metsox_R__L[c]', 'glucys[c]', 'lgt_s[c]', 'gthrd[c]'}",Hydrogen sulfide [cytoplasm],c,H2S,h2s[c],h2s_c,MNXM89582,C00283,cpd00239;cpd24697,13356;14414;15138;16136;24639;29919;30488;43058;45489;5787,Cysteine and methionine metabolism;Sulfur metabolism;Metabolic pathways;Microbial metabolism in diverse environments;Carbon metabolism;Sulfur cycle,"Cysteine biosynthesis, serine => cysteine;Assimilatory sulfate reduction, sulfate => H2S;Dissimilatory sulfate reduction, sulfate => H2S;Sulfide oxidation, sulfide => sulfur;Sulfur reduction, sulfur => sulfide;Assimilatory sulfate reduction, plants, sulfate => H2S"
cpppg3[c],36447.0,39649.0,0.47896078637510514,0.7364706466318225,0.9987209172869325,Rv0022c,"{'ppbng[c]', 'mppp9[c]', 'uppg3[c]', '5aop[c]', 'ppp9[c]', 'hmbil[c]', 'mycobilin[c]', 'pppg9[c]', 'pheme[c]'}",Coproporphyrinogen III [cytoplasm],c,C36H40N4O8,cpppg3[c],cpppg3_c,MNXM410,C03263,cpd02083,14020;15439;23386;3880;41560;57309,Porphyrin metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors,"Heme biosynthesis, plants and bacteria, glutamate => heme;Heme biosynthesis, animals and fungi, glycine => heme;Heme biosynthesis, bacteria, glutamyl-tRNA => coproporphyrin III => heme"
fmcbtt[c],35624.0,40472.0,0.46814550042052144,0.8308522796627319,0.9987209172869325,Rv0022c,"{'fcmcbtt[c]', 'mcbtm[c]', 'mcbtt[c]', 'mcbts[c]', 'cmcbtt[c]'}",Iron(II) mycobactin T [cytoplasm],c,C43H71N5O10Fe,fmcbtt[c],fmcbtt_c,MNXM5791,,cpd15953,,,
glu1sa[c],36380.0,39716.0,0.47808031959629943,0.745070781597356,0.9987209172869325,Rv0022c,set(),L-Glutamate 1-semialdehyde [cytoplasm],c,C5H9NO3,glu1sa[c],glu1sa_c,MNXM1453,C03741,cpd02345,11022;15757;18756;24312;404;42823;42827;57501,Porphyrin metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of cofactors,"Heme biosynthesis, plants and bacteria, glutamate => heme;Siroheme biosynthesis, glutamyl-tRNA => siroheme;Heme biosynthesis, bacteria, glutamyl-tRNA => coproporphyrin III => heme"
pre3b[c],30411.0,45685.0,0.3996399285113541,0.9987209172869325,0.9987209172869325,Rv0022c,"{'sheme[c]', 'hgbyr[c]', 'pre6a[c]', 'scl[c]', 'dscl[c]', 'hgbam[c]', 'scl2[c]', 'pre8[c]', 'pre3a[c]', 'pre5[c]', 'pre6b[c]', 'pre4[c]'}",Precorrin 3B [cytoplasm],c,C43H44N4O17,pre3b[c],pre3b_c,MNXM1291,C06406,cpd03833,14872;26222;27711;58522;77870;8372,Porphyrin metabolism;Metabolic pathways;Biosynthesis of cofactors,"Cobalamin biosynthesis, aerobic, uroporphyrinogen III => precorrin 2 => cobyrinate a,c-diamide"
4ppan[c],32085.0,44011.0,0.421638456686291,0.9907446521859241,0.9987209172869325,Rv0022c,"{'4ppcys[c]', 'pnto__R[c]', 'pan4p[c]'}",D-4'-Phosphopantothenate [cytoplasm],c,C9H15NO8P,4ppan[c],4ppan_c,MNXM415,C03492,cpd02201,10986;12886;15905;18702;20891;4082,beta-Alanine metabolism;Pantothenate and CoA biosynthesis;Metabolic pathways;Biosynthesis of cofactors,"Coenzyme A biosynthesis, pantothenate => CoA;Coenzyme A biosynthesis, archaea, 2-oxoisovalerate => 4-phosphopantoate => CoA"
pydx[c],35800.0,40296.0,0.47045836837678723,0.8127373547860457,0.9987209172869325,Rv0022c,set(),Pyridoxal [cytoplasm],c,C8H9NO3,pydx[c],pydx_c,MNXM311,C00250,cpd00215,131530;14976;17310;26423;45112;8667,Vitamin B6 metabolism;Metabolic pathways;Microbial metabolism in diverse environments;Biosynthesis of cofactors;Vitamin digestion and absorption,
frdp[c],33791.0,42305.0,0.4440575063078217,0.9536640444616585,0.9987209172869325,Rv0022c,"{'2mecdp[c]', 'decdman1p_tb[c]', 'ggdp[c]', 'hepdp[c]', 'decdpr_tb[c]', 'decdp_tb[c]', 'tbsinyldp[c]', 'ppm[c]', 'ipdp[c]', 'pendp[c]', 'udcpdp[c]', 'decda_tb[c]', 'hmbpp[c]', 'decdr_tb[c]', 'grdp[c]', 'hexdp[c]', 'dmpp[c]', 'h2mb4p[c]', 'udcpp[c]', 'decdp[c]', 'decd_tb[c]', 'octdp[c]'}",Farnesyl diphosphate [cytoplasm],c,C15H25O7P2,frdp[c],frdp_c,MNXM34,C00448,cpd00350,10700;11488;11491;12854;12874;14231;17407;175763;19789;24016;42496;50277,Steroid biosynthesis;Peptidoglycan biosynthesis;Terpenoid backbone biosynthesis;Carotenoid biosynthesis;Sesquiterpenoid and triterpenoid biosynthesis;Insect hormone biosynthesis;Biosynthesis of various antibiotics;Biosynthesis of various plant secondary metabolites;Biosynthesis of plant secondary metabolites;Biosynthesis of terpenoids and steroids;Biosynthesis of alkaloids derived from terpenoid and polyketide;Biosynthesis of plant hormones;Metabolic pathways;Biosynthesis of secondary metabolites,"Cholesterol biosynthesis, FPP => cholesterol;Ergocalciferol biosynthesis, FPP => ergosterol/ergocalciferol;C10-C20 isoprenoid biosynthesis, bacteria;C10-C20 isoprenoid biosynthesis, archaea;C10-C20 isoprenoid biosynthesis, plants;C10-C20 isoprenoid biosynthesis, non-plant eukaryotes;Pentalenolactone biosynthesis, farnesyl-PP => pentalenolactone;Fumagillin biosynthesis, farnesyl-PP => fumagillin;Staphyloxanthin biosynthesis, bacteria, farnesyl-PP => staphyloxanthin;Juvenile hormone biosynthesis, insects, farnesyl-PP => juvenile hormone III"
2plac__L[c],36024.0,40072.0,0.47340201850294367,0.7881756636601336,0.9987209172869325,Rv0022c,set(),2-phospho-L-lactate [cytoplasm],c,C3H4O6P,2plac__L[c],2plac__L_c,MNXM2888,C19156,cpd15809;cpd20414;cpd28137,45013;59433;59906,Methane metabolism;Metabolic pathways;Microbial metabolism in diverse environments;Biosynthesis of cofactors,"F420 biosynthesis, archaea"
hemeA[c],30526.0,45570.0,0.40115117746005047,0.9985156319967579,0.9987209172869325,Rv0022c,{'hemeO[c]'},Heme A C49H55FeN4O6 [cytoplasm],c,C49H54FeN4O6,hemeA[c],hemeA_c,MNXM53309,C15670,cpd11312,24479;36163;61715,Porphyrin metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors,
barb[c],32931.0,43165.0,0.43275599243061397,0.9783662994967466,0.9987209172869325,Rv0022c,set(),Barbiturate [cytoplasm],c,C4H4N2O3,barb[c],barb_c,,,,,,
so3[c],33036.0,43060.0,0.4341358284272498,0.9761285909628681,0.9987209172869325,Rv0022c,set(),Sulfite [cytoplasm],c,O3S,so3[c],so3_c,MNXM105630,C00094;C11481,cpd00081,13367;15139;17137;17359;26837;29214;33543;45548;48854;5598;9344,Cysteine and methionine metabolism;Taurine and hypotaurine metabolism;Sulfoquinovose metabolism;Sulfur metabolism;Metabolic pathways;Microbial metabolism in diverse environments;Sulfur cycle;Cysteine and methionine metabolism;Sulfoquinovose metabolism,"Assimilatory sulfate reduction, sulfate => H2S;Dissimilatory sulfate reduction, sulfate => H2S;Assimilatory sulfate reduction, plants, sulfate => H2S;Sulfoquinovose degradation, sulfoquinovose => glucose;"
ser__L[c],37985.0,38111.0,0.4991720984020185,0.5100039705398427,0.9987209172869325,Rv0022c,"{'ser__L[e]', 'acser[c]', 'pser__L[c]'}",L-Serine [cytoplasm],c,C3H7NO3,ser__L[c],ser__L_c,MNXM53,C00065;C00716,cpd00054;cpd28171;cpd30743,13167;15081;17115;17822;21387;26648;32836;32837;32845;32846;33384;35243;45440;45451;45590;45597;45677;6301;9116,"Glycine, serine and threonine metabolism;Monobactam biosynthesis;Cysteine and methionine metabolism;Cyanoamino acid metabolism;D-Amino acid metabolism;Glycerophospholipid metabolism;Sphingolipid metabolism;Glyoxylate and dicarboxylate metabolism;One carbon pool by folate;Methane metabolism;Sulfur metabolism;Aminoacyl-tRNA biosynthesis;Biosynthesis of various siderophores;Biosynthesis of various antibiotics;Nonribosomal peptide structures;Biosynthesis of plant secondary metabolites;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Carbon metabolism;Biosynthesis of amino acids;Biosynthesis of cofactors;Vancomycin resistance;ABC transporters;Sphingolipid signaling pathway;Protein digestion and absorption;Mineral absorption;Central carbon metabolism in cancer;Bacterial chemotaxis","Serine biosynthesis, glycerate-3P => serine;Cysteine biosynthesis, serine => cysteine;Methionine degradation;Ceramide biosynthesis;Cysteine biosynthesis, homocysteine + serine => cysteine;Formaldehyde assimilation, serine pathway;Photorespiration;Nocardicin A biosynthesis, L-pHPG + arginine + serine => nocardicin A;Cycloserine biosynthesis, arginine/serine => cycloserine;Staphyloferrin B biosynthesis, L-serine => staphyloferrin B;Betaine degradation, bacteria, betaine => pyruvate;Achromobactin biosynthesis, serine + citrate => achromobactin;Vibrioferrin biosynthesis, serine + citrate => vibrioferrin;"
hom__L[c],37014.0,39082.0,0.48641190075693863,0.6585717365749593,0.9987209172869325,Rv0022c,"{'sl26da[c]', 'aact[c]', 'L2aadp6sa[c]', '3mop[c]', 'n6hlys[c]', 'sl2a6o[c]', 'phom[c]', 'thr__L[c]', 'aspsa[c]', '2aobut[c]', 'thdp[c]', '26dap__M[c]', 'lys__L[c]', 'n6hlysmal[c]', 'thr__L[e]', 'ile__L[c]', 'ile__L[e]', '23dhdp[c]', 'suchms[c]', 'appl[c]', '2obut[c]', 'achms[c]', '26dap_LL[c]', '4pasp[c]', '23dhmp[c]', '2ahbut[c]', 'lys__L[e]'}",L-Homoserine [cytoplasm],c,C4H9NO3,hom__L[c],hom__L_c,MNXM353,C00263,cpd00227,13123;15699;21330;43131;57476;6246,"Glycine, serine and threonine metabolism;Cysteine and methionine metabolism;Lysine biosynthesis;Sulfur metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids","Methionine biosynthesis, aspartate => homoserine => methionine;Threonine biosynthesis, aspartate => homoserine => threonine"
asp__L[e],38266.0,37830.0,0.5028648023549201,0.4657729378010427,0.9987209172869325,Rv0022c,set(),L-Aspartate [extracellular],e,C4H6NO4,asp__L[e],asp__L_e,MNXM42,C00049;C16433,cpd00041;cpd19181,13085;132943;17053;21244;21247;22659;22660;29991;29992;29993;29995;35391;40853;40900;40913;40942;6193,"Arginine biosynthesis;Alanine, aspartate and glutamate metabolism;Glycine, serine and threonine metabolism;Monobactam biosynthesis;Cysteine and methionine metabolism;Lysine biosynthesis;Histidine metabolism;beta-Alanine metabolism;Cyanoamino acid metabolism;D-Amino acid metabolism;Glyoxylate and dicarboxylate metabolism;Carbon fixation by Calvin cycle;Nicotinate and nicotinamide metabolism;Pantothenate and CoA biosynthesis;Aminoacyl-tRNA biosynthesis;Biosynthesis of various other secondary metabolites;Biosynthesis of various antibiotics;Biosynthesis of various plant secondary metabolites;Biosynthesis of plant secondary metabolites;Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;Biosynthesis of plant hormones;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Carbon metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Biosynthesis of cofactors;ABC transporters;Two-component system;Bacterial chemotaxis;Neuroactive ligand-receptor interaction;Protein digestion and absorption;Central carbon metabolism in cancer;","Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine;Methionine biosynthesis, aspartate => homoserine => methionine;Threonine biosynthesis, aspartate => homoserine => threonine;Urea cycle;Ectoine biosynthesis, aspartate => ectoine;NAD biosynthesis, aspartate => quinolinate => NAD;Pantothenate biosynthesis, valine/L-aspartate => pantothenate;C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type;C4-dicarboxylic acid cycle, NAD - malic enzyme type;Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine;Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine;Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine;Arginine biosynthesis, ornithine => arginine;Arginine biosynthesis, glutamate => acetylcitrulline => arginine;Ectoine degradation, ectoine => aspartate;Cremeomycin biosynthesis, aspartate/3,4-AHBA => cremeomycin;"
fum[e],37778.0,38318.0,0.496451850294365,0.542538873841015,0.9987209172869325,Rv0022c,set(),Fumarate [extracellular],e,C4H2O4,fum[e],fum_e,MNXM93,C00122,cpd00106,14284;18012;22956;22957;22958;24122;24124;29806;36180;37154;37155;42511;42743;5190,"Citrate cycle (TCA cycle);Oxidative phosphorylation;Arginine biosynthesis;Alanine, aspartate and glutamate metabolism;Tyrosine metabolism;Phenylalanine metabolism;Pyruvate metabolism;Styrene degradation;Butanoate metabolism;Other carbon fixation pathways;Nicotinate and nicotinamide metabolism;Biosynthesis of plant secondary metabolites;Biosynthesis of phenylpropanoids;Biosynthesis of terpenoids and steroids;Biosynthesis of alkaloids derived from shikimate pathway;Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;Biosynthesis of alkaloids derived from histidine and purine;Biosynthesis of alkaloids derived from terpenoid and polyketide;Biosynthesis of plant hormones;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Carbon metabolism;Degradation of aromatic compounds;Two-component system;Glucagon signaling pathway;Pathways in cancer;Renal cell carcinoma;Central carbon metabolism in cancer","Citrate cycle (TCA cycle, Krebs cycle);Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate;Urea cycle;Tyrosine degradation, tyrosine => homogentisate;Succinate dehydrogenase (ubiquinone);Succinate dehydrogenase, prokaryotes;Fumarate reductase, prokaryotes;Reductive citrate cycle (Arnon-Buchanan cycle);Dicarboxylate-hydroxybutyrate cycle;3-Hydroxypropionate bi-cycle;Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate;Nicotinate degradation, nicotinate => fumarate;Arginine biosynthesis, ornithine => arginine;Arginine biosynthesis, glutamate => acetylcitrulline => arginine;Methylcitrate cycle"
gly[e],36624.0,39472.0,0.48128679562657695,0.7131449672844354,0.9987209172869325,Rv0022c,set(),Glycine [extracellular],e,C2H5NO2,gly[e],gly_e,MNXM29,C00037,cpd00033,10792;14344;15428;24368;32507;32508;42964;5460;57305,"Primary bile acid biosynthesis;Purine metabolism;Glycine, serine and threonine metabolism;Lysine degradation;Phosphonate and phosphinate metabolism;Cyanoamino acid metabolism;D-Amino acid metabolism;Glutathione metabolism;Glyoxylate and dicarboxylate metabolism;One carbon pool by folate;Methane metabolism;Thiamine metabolism;Lipoic acid metabolism;Porphyrin metabolism;Aminoacyl-tRNA biosynthesis;Biosynthesis of plant secondary metabolites;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Carbon metabolism;Biosynthesis of amino acids;Biosynthesis of cofactors;Vancomycin resistance;ABC transporters;Biofilm formation - Escherichia coli;Neuroactive ligand-receptor interaction;Neuroactive ligand signaling;Synaptic vesicle cycle;Protein digestion and absorption;Mineral absorption;Central carbon metabolism in cancer","Formaldehyde assimilation, serine pathway;Photorespiration;Glycine cleavage system;Heme biosynthesis, animals and fungi, glycine => heme;Thiamine biosynthesis, prokaryotes, AIR (+ DXP/glycine) => TMP/TPP;Thiamine biosynthesis, archaea, AIR (+ NAD+) => TMP/TPP;Thiamine biosynthesis, plants, AIR (+ NAD+) => TMP/thiamine/TPP;Thiamine biosynthesis, pyridoxal-5P => TMP/thiamine/TPP;Betaine metabolism, animals, betaine => glycine;Betaine degradation, bacteria, betaine => pyruvate"
h2[e],36154.0,39942.0,0.47511038687973084,0.7728359680526835,0.9987209172869325,Rv0022c,set(),Hydrogen [extracellular],e,H2,h2[e],h2_e,MNXM195,C00282,cpd11640,13350;18276;25363;29294;29298;29299;5785,Two-component system;Carbohydrate digestion and absorption;Protein digestion and absorption,
h2co3[e],33229.0,42867.0,0.4366720984020185,0.9715075432390812,0.9987209172869325,Rv0022c,{'h2co3[c]'},Carbonic acid [extracellular],e,H2CO3,h2co3[e],h2co3_e,MNXM96530,,,,,
mal__L[e],37208.0,38888.0,0.4889613120269134,0.630036254934045,0.9987209172869325,Rv0022c,set(),L-Malate [extracellular],e,C4H4O5,mal__L[e],mal__L_e,MNXM98,C00149,cpd00130,11066;13140;15589;18784;18785;30797;423,"Citrate cycle (TCA cycle);Pyruvate metabolism;Glyoxylate and dicarboxylate metabolism;Methane metabolism;Carbon fixation by Calvin cycle;Other carbon fixation pathways;Biosynthesis of plant secondary metabolites;Biosynthesis of phenylpropanoids;Biosynthesis of terpenoids and steroids;Biosynthesis of alkaloids derived from shikimate pathway;Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;Biosynthesis of alkaloids derived from histidine and purine;Biosynthesis of alkaloids derived from terpenoid and polyketide;Biosynthesis of plant hormones;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Carbon metabolism;Two-component system;Taste transduction;Glucagon signaling pathway;Proximal tubule bicarbonate reclamation;Pathways in cancer;Renal cell carcinoma;Central carbon metabolism in cancer","Citrate cycle (TCA cycle, Krebs cycle);Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate;Glyoxylate cycle;CAM (Crassulacean acid metabolism), dark;CAM (Crassulacean acid metabolism), light;C4-dicarboxylic acid cycle, NAD - malic enzyme type;C4-dicarboxylic acid cycle, NADP - malic enzyme type;Reductive citrate cycle (Arnon-Buchanan cycle);Formaldehyde assimilation, serine pathway;Ethylmalonyl pathway;Dicarboxylate-hydroxybutyrate cycle;3-Hydroxypropionate bi-cycle;Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate;Methylaspartate cycle;Methylcitrate cycle"
pro__L[e],41859.0,34237.0,0.5500814760302776,0.06617112757832255,0.9987209172869325,Rv0022c,set(),L-Proline [extracellular],e,C5H9NO2,pro__L[e],pro__L_e,MNXM114,C00148;C16435,cpd00129;cpd15140,13154;17203;184637;21373;26271;32862;32864;32871;32872;42067;45040;45100;45159;58054;60039;6286,Arginine and proline metabolism;Carbapenem biosynthesis;Prodigiosin biosynthesis;Novobiocin biosynthesis;Staurosporine biosynthesis;D-Amino acid metabolism;Aminoacyl-tRNA biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids;ABC transporters;Protein digestion and absorption;Mineral absorption;Central carbon metabolism in cancer;,"Proline biosynthesis, glutamate => proline;Fumitremorgin alkaloid biosynthesis, tryptophan + proline => fumitremorgin C/A;Prodigiosin biosynthesis, L-proline => prodigiosin;Undecylprodigiosin biosynthesis, L-proline => undecylprodigiosin;Proline degradation, proline => glutamate;Proline metabolism;"
pyr[e],39456.0,36640.0,0.5185029436501262,0.2891457956986361,0.9987209172869325,Rv0022c,set(),Pyruvate [extracellular],e,C3H3O3,pyr[e],pyr_e,MNXM23,C00022,cpd00020,14987;15361;26462;26466;32816;45253;8685,"Glycolysis / Gluconeogenesis;Citrate cycle (TCA cycle);Pentose phosphate pathway;Pentose and glucuronate interconversions;Ascorbate and aldarate metabolism;Alanine, aspartate and glutamate metabolism;Glycine, serine and threonine metabolism;Monobactam biosynthesis;Cysteine and methionine metabolism;Valine, leucine and isoleucine biosynthesis;Arginine and proline metabolism;Tyrosine metabolism;Phenylalanine metabolism;Benzoate degradation;Taurine and hypotaurine metabolism;Phosphonate and phosphinate metabolism;D-Amino acid metabolism;Sulfoquinovose metabolism;Pyruvate metabolism;Dioxin degradation;Xylene degradation;Glyoxylate and dicarboxylate metabolism;Butanoate metabolism;C5-Branched dibasic acid metabolism;Methane metabolism;Carbon fixation by Calvin cycle;Other carbon fixation pathways;Thiamine metabolism;Nicotinate and nicotinamide metabolism;Pantothenate and CoA biosynthesis;Lipoic acid metabolism;Terpenoid backbone biosynthesis;Steroid degradation;Biosynthesis of various other secondary metabolites;Biosynthesis of various antibiotics;Biosynthesis of plant secondary metabolites;Biosynthesis of phenylpropanoids;Biosynthesis of terpenoids and steroids;Biosynthesis of alkaloids derived from shikimate pathway;Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;Biosynthesis of alkaloids derived from histidine and purine;Biosynthesis of alkaloids derived from terpenoid and polyketide;Biosynthesis of plant hormones;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Carbon metabolism;2-Oxocarboxylic acid metabolism;Degradation of aromatic compounds;Biosynthesis of amino acids;Biosynthesis of cofactors;Vancomycin resistance;Two-component system;Phosphotransferase system (PTS);HIF-1 signaling pathway;AMPK signaling pathway;Insulin secretion;Glucagon signaling pathway;Type II diabetes mellitus;Insulin resistance;Central carbon metabolism in cancer;Diabetic cardiomyopathy","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate;Glycolysis, core module involving three-carbon compounds;Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate;Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine;Glucuronate degradation, glucuronate => pyruvate + glyceraldehyde-3P;C5 isoprenoid biosynthesis, non-mevalonate pathway;CAM (Crassulacean acid metabolism), light;C4-dicarboxylic acid cycle, NAD - malic enzyme type;C4-dicarboxylic acid cycle, NADP - malic enzyme type;Reductive citrate cycle (Arnon-Buchanan cycle);Pyruvate oxidation, pyruvate => acetyl-CoA;Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P;Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate;Dicarboxylate-hydroxybutyrate cycle;3-Hydroxypropionate bi-cycle;Isoleucine biosynthesis, pyruvate => 2-oxobutanoate;Catechol meta-cleavage, catechol => acetyl-CoA / 4-methylcatechol => propanoyl-CoA;Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate;Galacturonate degradation, bacteria, galacturonate => pyruvate + glyceraldehyde-3P;Semi-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate-3P;Betaine degradation, bacteria, betaine => pyruvate"
