,Gene Expr MI Eigenvector Centrality
Rv0264c,0.016748708409462798
Rv0265c,0.01789291396727072
Rv0266c,0.018883247466063336
Rv0267,0.016796804836001693
Rv0268c,0.018511693505564912
Rv0269c,0.016643184395702223
Rv0270,0.01898544009492609
Rv0271c,0.017458001036184258
Rv0272c,0.014900304227175464
Rv0273c,0.015313559896471731
Rv0274,0.010409423251652497
Rv0275c,0.01932973404127619
Rv0276,0.020627734401328878
Rv0277c,0.015061433797683757
Rv0278c,0.012822840854018091
Rv0279c,0.010145629694503545
Rv0280,0.014395871957204326
Rv0281,0.014546780958801322
Rv0282,0.017712756381284722
Rv0283,0.016647439420000146
Rv0284,0.017985695252449335
Rv0285,0.011234824894653698
Rv0286,0.016401133550972096
Rv0287,0.019251418336325394
Rv0288,0.022430343952651033
Rv0289,0.018587951512771615
Rv0290,0.014603308735942473
Rv0291,0.016641653178216087
Rv0292,0.01370436073257587
Rv0293c,0.019938845119761867
Rv0294,0.01494260911219052
Rv0295c,0.018857333955018075
Rv0296c,0.0187118208538088
Rv0297,0.010955551664854062
Rv0298,0.010526187182135372
Rv0299,0.013470177799659103
Rv0300,0.011907711185150336
Rv0301,0.014056093772856182
Rv0302,0.016294943313324695
Rv0303,0.01698552117757534
Rv0304c,0.011277654265102622
Rv0305c,0.016827608736538786
Rv0306,0.017583301687570687
Rv0307c,0.017678111452247725
Rv0308,0.017194310092984152
Rv0309,0.019539336106170622
Rv0310c,0.01411954522618446
Rv0311,0.017684795978833073
Rv0312,0.016930208347779623
Rv0313,0.014702149458190051
Rv0314c,0.012441866539407855
Rv0315,0.020379887983423096
Rv0316,0.0179846508264095
Rv0317c,0.019108084220828173
Rv0318c,0.015359505179138403
Rv0319,0.015093840612645723
Rv0320,0.012871428931419503
Rv0321,0.01419731145790817
Rv0322,0.0183323639972553
Rv0323c,0.017776461827153412
Rv0324,0.01453058525577523
Rv0325,0.007707479223289612
Rv0326,0.01176643788604533
Rv0327c,0.009759907690570066
Rv0328,0.016439767555878445
Rv0329c,0.017709464397888303
Rv0330c,0.013620016428323702
Rv0331,0.012450968160655468
Rv0332,0.016396070591852326
Rv0333,0.01289520235462641
Rv0334,0.010755597295338247
Rv0335c,0.014449206400690041
Rv0336,0.02360541582349352
Rv0337c,0.015435166249408699
Rv0338c,0.02154822817235976
Rv0339c,0.013350026566813406
Rv0340,0.01470026436893108
Rv0341,0.013672516060081286
Rv0342,0.015185291236484044
Rv0343,0.016841687409936384
Rv0344c,0.014438279260712939
Rv0345,0.017859855955942385
Rv0346c,0.01619244346078357
Rv0347,0.01043628783949402
Rv0348,0.011431376468302603
Rv0349,0.015974402917533194
Rv0350,0.019674997504522087
Rv0351,0.016208005465688298
Rv0352,0.014628760073099727
Rv0353,0.013311207340131203
Rv0354c,0.00958206159555226
Rv0355c,0.01721840282113925
Rv0356c,0.019203777379474006
Rv0357c,0.017044310521904173
Rv0358,0.014861286329102809
Rv0359,0.01955330696774428
Rv0360c,0.01338386270552449
Rv0361,0.01223881926806604
Rv0362,0.013140292831459479
Rv0363c,0.018708568214999863
Rv0364,0.018084569085375417
Rv0365c,0.017170152368049748
Rv0366c,0.00910954687432298
Rv0367c,0.014625699259956501
Rv0368c,0.015109442822865114
Rv0369c,0.013416747660600026
Rv0370c,0.01077569355684617
Rv0371c,0.010805981743208914
Rv0372c,0.013678785279194583
Rv0373c,0.016707248149271263
Rv0374c,0.01093521581188744
Rv0375c,0.011185047652343249
Rv0376c,0.018934903125000808
Rv0377,0.015260910143396597
Rv0378,0.007303057937005849
Rv0379,0.01861370760014007
Rv0380c,0.014199727384644789
Rv0381c,0.01295336880122284
Rv0382c,0.01215093150889802
Rv0383c,0.01862183243039899
Rv0384c,0.020180068313768517
Rv0385,0.020140190784802586
Rv0386,0.016326724993400498
Rv0389,0.014922667095201333
Rv0390,0.015289631670177495
