Regulator Name,Gene Set Name,Total Genes,Gene Set Size,Regulator Target Set Size,Overlap,Total Genes,odds-ratio,p-value,Adjusted p-value
Rv0023,p-HBAD biosynthesis,1010,4.0,237.0,1.0,1010,1.0875706214689265,0.6575167352493465,1.0
Rv0023,Phenolic glycolipid biosynthesis,1010,3.0,237.0,0.0,1010,0.0,1.0,1.0
Rv0023,Polyprenyl Metabolism,1010,15.0,237.0,2.0,1010,0.49754500818330605,0.9003418714363036,1.0
Rv0023,Propanoate metabolism,1010,3.0,237.0,0.0,1010,0.0,1.0,1.0
Rv0023,Propanoate Metabolism,1010,5.0,237.0,4.0,1010,13.253218884120171,0.012111989881034017,0.246277127581025
Rv0023,Purine and Pyrimidine Biosynthesis,1010,74.0,237.0,13.0,1010,0.677400468384075,0.9207669288227597,1.0
Rv0023,Pyruvate Metabolism,1010,24.0,237.0,5.0,1010,0.8552631578947368,0.6984739749164208,1.0
Rv0023,Redox Metabolism,1010,25.0,237.0,5.0,1010,0.8114224137931034,0.7347502597593828,1.0
Rv0023,Riboflavin Metabolism,1010,9.0,237.0,0.0,1010,0.0,1.0,1.0
Rv0023,Spermidine biosynthesis,1010,1.0,237.0,0.0,1010,0.0,1.0,1.0
Rv0023,Starch and sucrose metabolism,1010,10.0,237.0,5.0,1010,3.310344827586207,0.06053326958788079,0.4102810494289698
Rv0023,Sulfur metabolism,1010,10.0,237.0,3.0,1010,1.4029304029304028,0.4280929084291513,1.0
Rv0023,Thiamine Metabolism,1010,3.0,237.0,1.0,1010,1.6334745762711864,0.5521030550598596,1.0
Rv0023,Threonine and Lysine Metabolism,1010,8.0,237.0,0.0,1010,0.0,1.0,1.0
Rv0023,Transport,1010,101.0,237.0,31.0,1010,1.5113037447988904,0.04888193560476894,0.4102810494289698
Rv0023,tRNA Charging,1010,2.0,237.0,0.0,1010,0.0,1.0,1.0
Rv0023,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",1010,18.0,237.0,4.0,1010,0.9307173513182097,0.641261149680131,1.0
Rv0023,Unassigned,1010,1.0,237.0,0.0,1010,0.0,1.0,1.0
Rv0023,Urea Cycle,1010,4.0,237.0,1.0,1010,1.0875706214689265,0.6575167352493465,1.0
Rv0023,"Valine, Leucine, and Isoleucine Metabolism",1010,26.0,237.0,5.0,1010,0.7717569786535303,0.7677645726512734,1.0
Rv0023,,1010,3.0,237.0,1.0,1010,1.6334745762711864,0.5521030550598596,1.0
Rv0023,Cholesterol degradation,1010,38.0,237.0,16.0,1010,2.4714109419991774,0.007299390450242288,0.2226314087323898
Rv0038,"Alanine, Aspartate, and Glutamate Metabolism",1010,28.0,0.0,0.0,1010,,1.0,1.0
Rv0038,Alternate Carbon Metabolism,1010,19.0,0.0,0.0,1010,,1.0,1.0
Rv0038,Arabinogalactan biosynthesis,1010,29.0,0.0,0.0,1010,,1.0,1.0
Rv0038,Arabinogalactan bioynthesis,1010,3.0,0.0,0.0,1010,,1.0,1.0
Rv0038,Arginine and Proline Metabolism,1010,10.0,0.0,0.0,1010,,1.0,1.0
Rv0038,Beta oxidation of unsaturated fatty acids,1010,67.0,0.0,0.0,1010,,1.0,1.0
Rv0038,Carbon metabolism,1010,3.0,0.0,0.0,1010,,1.0,1.0
Rv0038,Citric Acid Cycle,1010,32.0,0.0,0.0,1010,,1.0,1.0
Rv0038,Cofactor,1010,1.0,0.0,0.0,1010,,1.0,1.0
Rv0038,Cofactor and Prosthetic Group Biosynthesis,1010,102.0,0.0,0.0,1010,,1.0,1.0
Rv0038,Cysteine and methionine metabolism,1010,27.0,0.0,0.0,1010,,1.0,1.0
Rv0038,Degradation/Utilization/Assimilation,1010,7.0,0.0,0.0,1010,,1.0,1.0
Rv0038,Ergothioneine biosynthesis,1010,3.0,0.0,0.0,1010,,1.0,1.0
Rv0038,Fatty acid biosynthesis,1010,15.0,0.0,0.0,1010,,1.0,1.0
Rv0038,Fatty Acid Metabolism,1010,137.0,0.0,0.0,1010,,1.0,1.0
Rv0038,Folate Metabolism,1010,13.0,0.0,0.0,1010,,1.0,1.0
Rv0038,Fructose and mannose metabolism,1010,8.0,0.0,0.0,1010,,1.0,1.0
Rv0038,Glycerolipid metabolism,1010,3.0,0.0,0.0,1010,,1.0,1.0
Rv0038,Glycerophospholipid metabolism,1010,50.0,0.0,0.0,1010,,1.0,1.0
Rv0038,Glycolysis/Gluconeogenesis,1010,54.0,0.0,0.0,1010,,1.0,1.0
Rv0038,Glyoxylate Metabolism,1010,7.0,0.0,0.0,1010,,1.0,1.0
Rv0038,Histidine Metabolism,1010,10.0,0.0,0.0,1010,,1.0,1.0
Rv0038,Inositol phosphate metabolism,1010,5.0,0.0,0.0,1010,,1.0,1.0
