,Eigenvector Centrality
Rv1326c,4.342423718111515e-05
Rv1327c,8.95814104638468e-07
Rv1328,3.7246749185933e-05
Rv1330c,5.909121945787204e-09
Rv1334,0.0011160600983128835
Rv1336,0.0011160600983128835
Rv1338,0.06881457932595263
Rv1346,0.0002546375805692461
Rv1347c,3.8007657291758345e-06
Rv1348,0.0055242032145695385
Rv1349,0.0055242032145695385
Rv1350,0.045658666682775836
Rv1373,0.08450626843409105
Rv1380,0.00015626093081235498
Rv1381,0.00015626072803599778
Rv1383,1.0967509075015644e-05
Rv1384,1.0967509075015644e-05
Rv1385,0.00015626093081235498
Rv1389,2.2465081865711978e-06
Rv1391,0.0016218970377773114
Rv1392,9.642227236169499e-06
Rv1399c,2.1586111597804418e-11
Rv1400c,2.1586111597804418e-11
Rv1408,1.5834264943103932e-05
Rv1409,0.07153699424449081
Rv1412,0.07153699424449081
Rv1415,0.004545098548191533
Rv1416,0.05978496933807354
Rv1425,2.1586111597804418e-11
Rv1426c,2.1586111597804418e-11
Rv1427c,0.0002250216512470597
Rv1436,1.722224596060919e-05
Rv1437,1.722224596060919e-05
Rv1438,1.3824432297491944e-05
Rv1445c,3.712268466491381e-06
Rv1447c,3.711053976165414e-06
Rv1448c,2.6341059317663236e-05
Rv1449c,8.20255382157193e-05
Rv1451,0.0789591021758898
Rv1456c,0.07040347653113933
Rv1464,0.0789590902868838
Rv1467c,0.0002546375805692461
Rv1472,0.0002546375805692461
Rv1475c,1.698377271726122e-05
Rv1483,0.08029718073360083
Rv1484,0.045658666682775836
Rv1485,0.027261090783394913
Rv1492,2.3971156624295628e-06
Rv1493,2.3971156624295628e-06
Rv1497,2.1586111597804418e-11
Rv1500,0.07577761671668073
Rv1511,8.348317836779523e-10
Rv1512,1.1631235026889188e-09
Rv1521,0.0002250216512470597
Rv1525,0.06875111536204864
Rv1529,0.0002250216512470597
Rv1530,1.11196357641833e-05
Rv1533,5.115993962834579e-06
Rv1538c,6.608395412309527e-05
Rv1549,0.0002250216512470597
Rv1550,0.0002250216512470597
Rv1551,0.08337868144424673
Rv1552,2.093478320843861e-07
Rv1553,2.093478320843861e-07
Rv1554,2.093478320843861e-07
Rv1555,2.093478320843861e-07
Rv1559,1.6056206506451036e-06
Rv1562c,8.982797084895503e-06
Rv1563c,8.982797084895503e-06
Rv1564c,8.982797084895503e-06
Rv1568,2.1586111597804418e-11
Rv1569,1.521155123260014e-09
Rv1570,1.0815164539127498e-06
Rv1589,0.00025953408407746093
Rv1594,0.0744612145797749
Rv1595,0.03752268568724333
Rv1596,0.07448530687648602
Rv1599,2.5091518656883318e-05
Rv1600,2.509960523725899e-05
Rv1601,2.511055563819269e-05
Rv1602,2.509140449102222e-05
Rv1603,0.00012566616494279794
Rv1604,0.0043353230123702406
Rv1605,2.509140449102222e-05
Rv1606,2.51136705798968e-05
Rv1607,1.7237761610641608e-06
Rv1609,0.00012566616494279794
Rv1611,0.00012566616494279794
Rv1612,0.0006784816631676812
Rv1613,0.0006784816631676812
Rv1617,1.1714461959801483e-06
Rv1618,0.00010416397903750857
Rv1620c,1.7519341513905584e-06
Rv1621c,1.7519341513905584e-06
Rv1622c,0.07040347653113933
Rv1623c,0.07040347653113933
Rv1625c,8.105068577493497e-05
Rv1631,0.0016214150597634333
Rv1635c,9.509722730449766e-10
Rv1647,8.105068577493497e-05
Rv1652,1.1584518431439115e-05
Rv1653,1.1584507151787752e-05
Rv1654,1.1584507151787752e-05
Rv1655,0.00029381170659310775
Rv1656,2.8465741424068925e-05
Rv1658,1.3831095497326191e-05
Rv1659,1.3831095497326191e-05
Rv1662,0.08444350681241573
Rv1663,0.08444350681241573
Rv1672c,2.1586111597804418e-11
Rv1679,0.0002546375805692461
